"","Var1","Var2","value"
"1143",2001,68," 2.071"
"1144",2002,68,"  1.464"
"1145",2003,68,"  1.509"
"1146",2004,68,"  2.097"
"1147",2005,68,"  1.542"
"1148",2006,68,"  1.422"
"1149",2007,68,"  1.278"
"1150",2008,68,"  1.048"
"1151",2009,68,"  1.081"
"1152",2010,68,"  1.163"
"1153",2011,68,"  1.157"
"1154",2012,68,"  1.017"
"1155",2013,68,"  2.963"
"1156",NA,68,NA
"1157",NA,69,"Салават"
"1158",1999,69," 60.574"
"1159",2000,69," 52.313"
"1160",2001,69,"70.832"
"1161",2002,69," 62.649"
"1162",2003,69," 55.968"
"1163",2004,69," 46.568"
"1164",2005,69," 42.488"
"1165",2006,69," 26.183"
"1166",2007,69," 26.998"
"1167",2008,69," 26.869"
"1168",2009,69," 37.520"
"1169",2010,69," 36.505"
"1170",2011,69," 37.956"
"1171",2012,69," 37.245"
"1172",2013,69," 36.162"
"1173",NA,69,NA
"1174",NA,70,"Сибай"
"1175",1999,70,"  3.265"
"1176",2000,70,"  3.049"
"1177",2001,70," 2.905"
"1178",2002,70,"  3.846"
"1179",2003,70,"  2.216"
"1180",2004,70,"  1.258"
"1181",2005,70,"  1.951"
"1182",2006,70,"  2.161"
"1183",2007,70,"  1.825"
"1184",2008,70,"  1.819"
"1185",2009,70,"  1.737"
"1186",2010,70,"  1.203"
"1187",2011,70,"  2.776"
"1188",2012,70,"  2.472"
"1189",2013,70,"  4.298"
"1190",NA,70,NA
"1191",NA,71,"Стерлитамак"
"1192",1999,71," 68.076"
"1193",2000,71," 61.201"
"1194",2001,71,"64.851"
"1195",2002,71," 63.735"
"1196",2003,71," 64.022"
"1197",2004,71," 54.667"
"1198",2005,71," 58.643"
"1199",2006,71," 62.372"
"1200",2007,71," 71.512"
"1201",2008,71," 71.546"
"1202",2009,71," 62.517"
"1203",2010,71," 59.649"
"1204",2011,71," 61.481"
"1205",2012,71," 57.388"
"1206",2013,71," 59.028"
"1207",NA,71,NA
"1208",NA,72,"г.Туймазы"
"1209",1999,72,"  5.112"
"1210",2000,72,"  5.467"
"1211",2001,72," 7.915"
"1212",2002,72,"  7.508"
"1213",2003,72,"  7.174"
"1214",2004,72,"  9.081"
"1215",2005,72,"  7.410"
"1216",2006,72,"  6.131"
"1217",2007,72,"  5.860"
"1218",2008,72,"  5.943"
"1219",2009,72,"  6.463"
"1220",2010,72,"  6.206"
"1221",2011,72,"  6.580"
"1222",2012,72,"  8.742"
"1223",2013,72,"  6.152"
"1224",NA,72,NA
"1225",NA,73,"Учалы"
"1226",1999,73,"  4.064"
"1227",2000,73,"  2.287"
"1228",2001,73," 1.829"
"1229",2002,73,"  1.781"
"1230",2003,73,"  1.990"
"1231",2004,73,"  1.780"
"1232",2005,73,"  1.810"
"1233",2006,73,"  1.864"
"1234",2007,73,"  1.673"
"1235",2008,73,"  1.487"
"1236",2009,73,"  1.381"
"1237",2010,73,"  1.769"
"1238",2011,73,"  1.729"
"1239",2012,73,"  2.327"
"1240",2013,73,"  2.899"
"1241",NA,73,NA
"1242",NA,74,"Янаул"
"1243",1999,74,"  0.192"
"1244",2000,74,"  0.189"
"1245",2001,74," 6.768"
"1246",2002,74,"  1.651"
"1247",2003,74,"  1.768"
"1248",2004,74,"  1.775"
"1249",2005,74,"  1.707"
"1250",2006,74,"  0.813"
"1251",2007,74,"  0.921"
"1252",2008,74,"  0.324"
"1253",2009,74,"  0.274"
"1254",2010,74,"  0.134"
"1255",2011,74,"  0.189"
"1256",2012,74,"  0.322"
"1257",2013,74,"  0.316"
"1258",NA,74,NA
"1259",NA,75," г. Межгорье                                                 "
"1260",1999,75,NA
"1261",2000,75,NA
"1262",2001,75,NA
"1263",2002,75,NA
"1264",2003,75,NA
"1265",2004,75,NA
"1266",2005,75,"  0.308"
"1267",2006,75,NA
"1268",2007,75,NA
"1269",2008,75,NA
"1270",2009,75,NA
"1271",2010,75,NA
"1272",2011,75,NA
"1273",2012,75,NA
"1274",2013,75,NA
"1275",NA,75,NA
